# bag_unix_ns,px4_us,x_north_m,y_east_m,z_down_m,vx_mps,vy_mps,vz_mps
1.788595736554268672e+18,1.788595729503504000e+15,-3.277268260717391968e-02,6.903533823788166046e-03,6.273448467254638672e-03,3.112478647381067276e-03,-8.556704968214035034e-03,-2.811434213072061539e-03
1.788595736573903360e+18,1.788595729519504000e+15,-3.283349424600601196e-02,6.865065079182386398e-03,6.152600049972534180e-03,3.192087402567267418e-03,-8.465522900223731995e-03,-2.891694661229848862e-03
1.788595736637758976e+18,1.788595729543504000e+15,-3.295002505183219910e-02,6.827983539551496506e-03,5.971238017082214355e-03,3.309766296297311783e-03,-8.436208590865135193e-03,-2.923889551311731339e-03
1.788595736702418944e+18,1.788595729559504000e+15,-3.303080797195434570e-02,6.807397585362195969e-03,5.853712558746337891e-03,3.278391901403665543e-03,-8.358183316886425018e-03,-2.931786235421895981e-03
1.788595736721868288e+18,1.788595729583504000e+15,-3.319572284817695618e-02,6.815260741859674454e-03,5.634382367134094238e-03,3.362059360370039940e-03,-8.214416913688182831e-03,-3.138699801638722420e-03
1.788595736779937024e+18,1.788595729599504000e+15,-3.330279886722564697e-02,6.834554020315408707e-03,5.485668778419494629e-03,3.296497976407408714e-03,-8.160548284649848938e-03,-3.095864783972501755e-03
1.788595736799785472e+18,1.788595729623504000e+15,-3.345860540866851807e-02,6.882356014102697372e-03,5.253314971923828125e-03,3.349836450070142746e-03,-8.015874773263931274e-03,-3.155576996505260468e-03
1.788595736861179392e+18,1.788595729639504000e+15,-3.357301652431488037e-02,6.934444420039653778e-03,5.092695355415344238e-03,3.375707659870386124e-03,-7.819630205631256104e-03,-3.207956906408071518e-03
1.788595736936217344e+18,1.788595729663504000e+15,-3.374549746513366699e-02,7.004626560956239700e-03,4.868164658546447754e-03,3.343076445162296295e-03,-7.634362671524286270e-03,-3.236206248402595520e-03
1.788595736938981632e+18,1.788595729679504000e+15,-3.387153893709182739e-02,7.046496495604515076e-03,4.741132259368896484e-03,3.286813618615269661e-03,-7.542220409959554672e-03,-3.419004613533616066e-03
1.788595737005232896e+18,1.788595729703504000e+15,-3.405395150184631348e-02,7.109519094228744507e-03,4.572123289108276367e-03,3.212966723367571831e-03,-7.402515504509210587e-03,-3.444072091951966286e-03
1.788595737068054272e+18,1.788595729719504000e+15,-3.417795151472091675e-02,7.157936692237854004e-03,4.469648003578186035e-03,3.091942751780152321e-03,-7.230042479932308197e-03,-3.341648727655410767e-03
1.788595737086747136e+18,1.788595729743504000e+15,-3.434751182794570923e-02,7.251876872032880783e-03,4.300639033317565918e-03,3.022363875061273575e-03,-7.129578851163387299e-03,-3.367864293977618217e-03
1.788595737176561152e+18,1.788595729759504000e+15,-3.444940969347953796e-02,7.317386101931333542e-03,4.184797406196594238e-03,3.102484624832868576e-03,-7.051311898976564407e-03,-3.350263927131891251e-03
1.788595737177017344e+18,1.788595729783504000e+15,-3.459978476166725159e-02,7.440766319632530212e-03,4.012688994407653809e-03,3.039956092834472656e-03,-6.768872030079364777e-03,-3.347423393279314041e-03
1.788595737242606080e+18,1.788595729799504000e+15,-3.468630462884902954e-02,7.525651250034570694e-03,3.893405199050903320e-03,3.141577355563640594e-03,-6.667597219347953796e-03,-3.434549085795879364e-03
1.788595737309186304e+18,1.788595729823504000e+15,-3.479744866490364075e-02,7.657308131456375122e-03,3.705695271492004395e-03,3.052931977435946465e-03,-6.427262909710407257e-03,-3.527969121932983398e-03
1.788595737326591488e+18,1.788595729839504000e+15,-3.487427532672882080e-02,7.761168759316205978e-03,3.575533628463745117e-03,3.119488013908267021e-03,-6.189482752233743668e-03,-3.525109728798270226e-03
1.788595737419293184e+18,1.788595729863504000e+15,-3.497968986630439758e-02,7.927481085062026978e-03,3.382235765457153320e-03,3.185392357409000397e-03,-5.997417494654655457e-03,-3.562952857464551926e-03
1.788595737439110912e+18,1.788595729879504000e+15,-3.504662215709686279e-02,8.058935403823852539e-03,3.270164132118225098e-03,3.213577670976519585e-03,-5.780067294836044312e-03,-3.488117130473256111e-03
1.788595737500924160e+18,1.788595729903504000e+15,-3.514369577169418335e-02,8.282912895083427429e-03,3.140032291412353516e-03,3.207048168405890465e-03,-5.457974970340728760e-03,-3.474740777164697647e-03
1.788595737573982976e+18,1.788595729919504000e+15,-3.520423173904418945e-02,8.436410687863826752e-03,3.057435154914855957e-03,3.135405248031020164e-03,-5.294597707688808441e-03,-3.431784920394420624e-03
1.788595737592196352e+18,1.788595729943504000e+15,-3.530994802713394165e-02,8.690974675118923187e-03,2.952218055725097656e-03,3.178793238475918770e-03,-4.946691449731588364e-03,-3.307218896225094795e-03
1.788595737658610432e+18,1.788595729959504000e+15,-3.537186980247497559e-02,8.853120729327201843e-03,2.886861562728881836e-03,3.211993724107742310e-03,-4.740163218230009079e-03,-3.291378961876034737e-03
1.788595737678067712e+18,1.788595729983504000e+15,-3.549854084849357605e-02,9.089139290153980255e-03,2.787545323371887207e-03,3.146013012155890465e-03,-4.417408257722854614e-03,-3.282827325165271759e-03
1.788595737737964032e+18,1.788595729999504000e+15,-3.559091314673423767e-02,9.225973859429359436e-03,2.725780010223388672e-03,3.123318543657660484e-03,-4.314937628805637360e-03,-3.352349158376455307e-03
1.788595737798949888e+18,1.788595730023504000e+15,-3.574028238654136658e-02,9.401541203260421753e-03,2.649903297424316406e-03,3.021747572347521782e-03,-4.097241442650556564e-03,-3.218367928639054298e-03
1.788595737817712896e+18,1.788595730039504000e+15,-3.586140275001525879e-02,9.490805678069591522e-03,2.631336450576782227e-03,2.940103411674499512e-03,-4.043005406856536865e-03,-3.124176757410168648e-03
1.788595737880163072e+18,1.788595730063504000e+15,-3.604855015873908997e-02,9.601018391549587250e-03,2.605766057968139648e-03,2.798668108880519867e-03,-3.797998186200857162e-03,-3.029233776032924652e-03
1.788595737899560448e+18,1.788595730079504000e+15,-3.618929907679557800e-02,9.650312364101409912e-03,2.606257796287536621e-03,2.669995883479714394e-03,-3.643938805907964706e-03,-2.959528705105185509e-03
1.788595737967654144e+18,1.788595730103504000e+15,-3.643240034580230713e-02,9.718410670757293701e-03,2.630308270454406738e-03,2.419012831524014473e-03,-3.502376843243837357e-03,-2.891022479161620140e-03
1.788595738029451520e+18,1.788595730119504000e+15,-3.660013154149055481e-02,9.758937172591686249e-03,2.647772431373596191e-03,2.362230326980352402e-03,-3.489193972200155258e-03,-2.770090010017156601e-03
1.788595738049349376e+18,1.788595730143504000e+15,-3.692888095974922180e-02,9.810306131839752197e-03,2.680346369743347168e-03,2.044362481683492661e-03,-3.436001949012279510e-03,-2.612053416669368744e-03
1.788595738107348992e+18,1.788595730159504000e+15,-3.715676069259643555e-02,9.851424023509025574e-03,2.698794007301330566e-03,1.827347208745777607e-03,-3.419651649892330170e-03,-2.425431972369551659e-03
1.788595738126620160e+18,1.788595730183504000e+15,-3.751066699624061584e-02,9.923132136464118958e-03,2.714604139328002930e-03,1.585561898536980152e-03,-3.276216797530651093e-03,-2.238556277006864548e-03
1.788595738200890880e+18,1.788595730199504000e+15,-3.777141496539115906e-02,9.991996921598911285e-03,2.710774540901184082e-03,1.356896245852112770e-03,-3.263167338445782661e-03,-2.229302423074841499e-03
1.788595738268221952e+18,1.788595730223504000e+15,-3.814421966671943665e-02,1.008630078285932541e-02,2.705007791519165039e-03,1.177439698949456215e-03,-3.163250396028161049e-03,-2.230037003755569458e-03
1.788595738286874368e+18,1.788595730239504000e+15,-3.840574622154235840e-02,1.013293955475091934e-02,2.679854631423950195e-03,1.000384450890123844e-03,-3.104434115812182426e-03,-2.146443817764520645e-03
1.788595738357850624e+18,1.788595730263504000e+15,-3.878246992826461792e-02,1.019244920462369919e-02,2.633705735206604004e-03,7.721714791841804981e-04,-3.146112663671374321e-03,-2.062842017039656639e-03
1.788595738369395712e+18,1.788595730279504000e+15,-3.902432322502136230e-02,1.022302731871604919e-02,2.596706151962280273e-03,5.707069649361073971e-04,-3.098578425124287605e-03,-1.974129350855946541e-03
1.788595738436474368e+18,1.788595730303504000e+15,-3.939295560121536255e-02,1.026195939630270004e-02,2.522692084312438965e-03,2.644588530529290438e-04,-2.964493818581104279e-03,-1.889086444862186909e-03
1.788595738500670720e+18,1.788595730319504000e+15,-3.963692486286163330e-02,1.028393860906362534e-02,2.467736601829528809e-03,6.193131412146613002e-05,-2.946034306660294533e-03,-1.732806325890123844e-03
1.788595738520216064e+18,1.788595730343504000e+15,-3.998285159468650818e-02,1.030456926673650742e-02,2.382069826126098633e-03,-1.976630155695602298e-04,-2.862744964659214020e-03,-1.700282329693436623e-03
1.788595738584158208e+18,1.788595730359504000e+15,-4.020130261778831482e-02,1.031490694731473923e-02,2.326861023902893066e-03,-4.192445485386997461e-04,-2.905456349253654480e-03,-1.570383785292506218e-03
1.788595738648249856e+18,1.788595730383504000e+15,-4.051097482442855835e-02,1.032420154660940170e-02,2.241387963294982910e-03,-6.330299656838178635e-04,-2.917370526120066643e-03,-1.400945242494344711e-03
1.788595738669034240e+18,1.788595730399504000e+15,-4.070806875824928284e-02,1.034525968134403229e-02,2.170607447624206543e-03,-7.569711306132376194e-04,-2.874390687793493271e-03,-1.378690707497298717e-03
1.788595738725537280e+18,1.788595730423504000e+15,-4.098136723041534424e-02,1.038815639913082123e-02,2.059489488601684570e-03,-9.065383346751332283e-04,-2.777952235192060471e-03,-1.335988636128604412e-03
1.788595738743873280e+18,1.788595730439504000e+15,-4.114263504743576050e-02,1.043437607586383820e-02,1.981183886528015137e-03,-9.950915118679404259e-04,-2.796282991766929626e-03,-1.290780142880976200e-03
1.788595738816848640e+18,1.788595730463504000e+15,-4.138812422752380371e-02,1.053519360721111298e-02,1.851469278335571289e-03,-1.090809120796620846e-03,-2.759315539151430130e-03,-1.312599168159067631e-03
1.788595738889732608e+18,1.788595730479504000e+15,-4.154909774661064148e-02,1.060869172215461731e-02,1.761719584465026855e-03,-1.171453041024506092e-03,-2.709086518734693527e-03,-1.208911417052149773e-03
1.788595738907978752e+18,1.788595730503504000e+15,-4.178288206458091736e-02,1.073373761028051376e-02,1.611068844795227051e-03,-1.261173863895237446e-03,-2.711353590711951256e-03,-1.260656979866325855e-03
1.788595738984145664e+18,1.788595730519504000e+15,-4.193238914012908936e-02,1.081864722073078156e-02,1.509994268417358398e-03,-1.272347755730152130e-03,-2.599874511361122131e-03,-1.208026078529655933e-03
1.788595739003995904e+18,1.788595730543504000e+15,-4.210585355758666992e-02,1.098724175244569778e-02,1.302167773246765137e-03,-1.284980913624167442e-03,-2.482339972630143166e-03,-1.134593738242983818e-03
1.788595739061667840e+18,1.788595730559504000e+15,-4.221010580658912659e-02,1.111968513578176498e-02,1.149177551269531250e-03,-1.425816910341382027e-03,-2.393784001469612122e-03,-1.075644977390766144e-03
1.788595739126149376e+18,1.788595730583504000e+15,-4.235068708658218384e-02,1.134723518043756485e-02,9.153634309768676758e-04,-1.411328557878732681e-03,-2.171423519030213356e-03,-1.105349860154092312e-03
1.788595739143755008e+18,1.788595730599504000e+15,-4.244697839021682739e-02,1.152588892728090286e-02,7.455796003341674805e-04,-1.413490390405058861e-03,-2.051381161436438560e-03,-1.131102791987359524e-03
