# bag_elapsed_wall_s,target_right_m,target_down_m,target_forward_m
2.567840255999999854e+01,-7.763697875013318705e-02,1.455693352018879068e-02,2.619939270978198564e+00
2.577370393600000043e+01,-8.021627883289500494e-02,1.411991926234594519e-02,2.619920610210357825e+00
2.595834752000000023e+01,-8.023229165032069732e-02,1.476782321125347068e-02,2.633626479581552715e+00
2.605324825599999983e+01,-8.194740981334097674e-02,1.382593359870977652e-02,2.634111185851317316e+00
2.633133439999999936e+01,-8.412131536157814449e-02,9.896625289034139544e-03,2.671773968468558635e+00
2.651172531199999938e+01,-8.661668308137331074e-02,7.424287066864452243e-03,2.672428413979398787e+00
2.669436569599999842e+01,-8.998200540768491740e-02,4.999000284253087185e-03,2.699142065663865608e+00
2.688240819199999976e+01,-8.904875183516110237e-02,3.851550830849782663e-03,2.706310854723920301e+00
2.707757977600000032e+01,-9.341528301016813196e-02,2.524737314308398307e-03,2.726395059960161849e+00
2.718070271999999932e+01,-9.341528301016813196e-02,2.524737314308398307e-03,2.726395059960161849e+00
2.728237337599999890e+01,-9.432318025392813499e-02,-1.747062634160458268e-03,2.730495427321978141e+00
2.746241484800000165e+01,-9.752863297117746189e-02,-1.483203818511001160e-03,2.734081347865655154e+00
2.755063731199999921e+01,-9.704739224493548477e-02,-6.906910633059433913e-05,2.739188224552035589e+00
2.764044518400000072e+01,-9.846475773752605409e-02,-2.524737379172590883e-03,2.726395060024718653e+00
2.782568652799999853e+01,-1.022530186919466677e-01,-2.610840128833241940e-03,2.768897065431849658e+00
2.791448908799999984e+01,-1.022530186919466677e-01,-2.610840128833241940e-03,2.768897065431849658e+00
2.800792883200000105e+01,-1.034419334760529052e-01,-1.167417406273437873e-03,2.773924863951610753e+00
2.809501516799999976e+01,-1.050322858516786612e-01,-1.457259689485178398e-03,2.786314503772509443e+00
2.828533939200000091e+01,-1.050322858516786612e-01,-1.457259689485178398e-03,2.786314503772509443e+00
2.838527027199999964e+01,-1.035040729694263334e-01,-2.796941138490352703e-03,2.795765840313486184e+00
2.847350758400000004e+01,-1.044535387072252769e-01,-1.169570886197466740e-03,2.801940147503561018e+00
2.855803878400000073e+01,-1.050322858516786612e-01,-1.457259689485178398e-03,2.786314503772509443e+00
2.893394175999999973e+01,-1.080241641791384460e-01,2.572847376584802039e-03,2.824826029772355529e+00
2.911761843200000044e+01,-1.108145183989995564e-01,1.929507897322090123e-03,2.839647479360604798e+00
3.003396915200000095e+01,-1.157569997022187408e-01,1.598455131104692395e-02,2.882767646012684537e+00
3.032105292800000029e+01,-1.145087244860723413e-01,2.008847118503375231e-02,2.882015939709895225e+00
3.050671206399999846e+01,-1.117158366210193460e-01,2.490802787569064425e-02,2.909339217245837439e+00
3.060517862400000055e+01,-1.150443960770052010e-01,2.304074311973443659e-02,2.906215886368002543e+00
3.080022707199999843e+01,-1.149948404398478258e-01,2.881519479740535239e-02,2.917652126387242806e+00
3.099307571199999956e+01,-1.127901876202724585e-01,3.120938114897004248e-02,2.914711220947656223e+00
3.109746483200000000e+01,-1.116386244762289370e-01,3.188594320861677656e-02,2.932956077186096522e+00
3.120558105599999976e+01,-1.135774403305785940e-01,3.144238144989935924e-02,2.937978443352960767e+00
3.159243033599999961e+01,-1.100614033206255421e-01,4.251649973518544651e-02,2.954035281241252253e+00
3.202624076800000097e+01,-1.075872571384574455e-01,4.469407507250551526e-02,2.962294059926180445e+00
3.267709107200000318e+01,-1.089821018054954321e-01,4.801338408615065528e-02,2.990357120408897007e+00
3.333056665600000201e+01,-1.120036346767047802e-01,4.946225532668772906e-02,3.002086101615719205e+00
3.342486681599999798e+01,-1.120036346767047802e-01,4.946225532668772906e-02,3.002086101615719205e+00
3.360291456000000210e+01,-1.160218593108308244e-01,4.927723290447974525e-02,3.014913756674240108e+00
3.432738227200000125e+01,-1.145071564678103032e-01,4.475982548954006435e-02,3.015039326603588421e+00
3.441539763200000124e+01,-1.168951575565907591e-01,4.404723163583344758e-02,3.041454065588142353e+00
3.451369087999999863e+01,-1.202281048478972825e-01,4.094714511067323176e-02,3.036899500413585695e+00
3.480914355200000188e+01,-1.157744125400971130e-01,3.914248626382328677e-02,3.047681030874443753e+00
3.517532518400000185e+01,-1.165905828059177751e-01,3.548228751735214848e-02,3.054095895383554193e+00
3.545930291199999829e+01,-1.146345941811312136e-01,2.642857116277484014e-02,3.053279857934142694e+00
3.554834944000000263e+01,-1.113115847531716551e-01,2.645654881186439156e-02,3.057149128879130817e+00
3.573161625600000235e+01,-1.136070268416594364e-01,2.272140527069291260e-02,3.067028270586447114e+00
3.645867033599999729e+01,-1.136070268383904125e-01,5.680351255002807215e-03,3.067028270558190162e+00
3.654991590400000234e+01,-1.136070268383904125e-01,5.680351255002807215e-03,3.067028270558190162e+00
3.673708620800000091e+01,-1.152540787223910873e-01,7.103659846142689350e-04,3.075206474007228685e+00
3.700661759999999845e+01,-1.171468086502074485e-01,-5.477213048625287697e-03,3.082699983475698069e+00
3.710117683200000016e+01,-1.192488518362600364e-01,-8.088862611671460492e-03,3.078554794609211775e+00
3.720487475200000205e+01,-1.196448962465866961e-01,-8.842834973716278552e-03,3.085164947617752507e+00
3.746552217600000034e+01,-1.220544602310143362e-01,-1.177126863501604635e-02,3.079036588480410952e+00
3.784070195200000342e+01,-1.300251358435133842e-01,-1.797403727723025438e-02,3.084126085954584262e+00
3.794208768000000020e+01,-1.306160598379924043e-01,-1.945856258459711594e-02,3.078320333544323439e+00
3.813682073599999711e+01,-1.322991588392236628e-01,-1.842284964895169602e-02,3.090972652810306531e+00
3.841110963199999873e+01,-1.362994589496849540e-01,-2.514309011827718307e-02,3.078211679726860606e+00
3.851313715199999876e+01,-1.414143070424428439e-01,-2.367278207174963039e-02,3.084039603637245719e+00
3.917836364800000126e+01,-1.470641756029668346e-01,-2.690434159198176398e-02,3.094112045984590331e+00
3.936295449600000040e+01,-1.499786416919508536e-01,-3.040335997861440612e-02,3.083466593742508977e+00
3.972642534399999903e+01,-1.551621642872903495e-01,-2.873373412868920201e-02,3.102877608857442571e+00
4.018578636800000226e+01,-1.582836536784169301e-01,-2.774241711061933152e-02,3.099677609182901250e+00
4.081244108799999992e+01,-1.584805266338454310e-01,-2.948759764556821428e-02,3.120520349946074301e+00
4.101370419199999873e+01,-1.570310226556908273e-01,-3.069762303729822728e-02,3.112360889567608702e+00
4.122985984000000315e+01,-1.554972053214391525e-01,-3.249650508722051051e-02,3.097091787377992400e+00
4.183554457599999665e+01,-1.469260788025825437e-01,-3.535102996622229571e-02,3.119947475838545703e+00
4.193994265599999949e+01,-1.445325686945187482e-01,-3.720816648274326982e-02,3.118610631388866850e+00
4.223750604800000019e+01,-1.383247504224102420e-01,-3.820764714637994025e-02,3.097145288476808478e+00
4.233312051200000070e+01,-1.353768258169218419e-01,-4.120074168405895437e-02,3.119375520640248034e+00
4.316974848000000264e+01,-1.113408044397307950e-01,-4.990482463639415306e-02,3.120660453971311643e+00
4.362580633599999658e+01,-9.429635339120155668e-02,-5.561219487742048023e-02,3.104823579054857507e+00
4.372369382400000148e+01,-8.998462572231942513e-02,-5.546928626599291479e-02,3.108775870378710060e+00
4.391096422399999710e+01,-8.469942871047951571e-02,-5.606580378509599949e-02,3.126169374826750058e+00
4.410267673599999938e+01,-7.800829022633166965e-02,-5.791777192955200465e-02,3.118270853457288716e+00
4.480239871999999934e+01,-5.812381944856002264e-02,-6.393620138757491467e-02,3.138316392461895976e+00
4.490702668800000197e+01,-5.581867868163004759e-02,-6.177739997217696760e-02,3.125636742802015977e+00
4.500660300799999902e+01,-5.231143745730303801e-02,-6.393620131789190530e-02,3.138316392714735059e+00
4.560505804799999652e+01,-3.487429164243387170e-02,-6.393620131821846353e-02,3.138316392719010306e+00
4.570935552000000257e+01,-3.080172155062773504e-02,-6.526626039460947659e-02,3.120364199133423888e+00
4.580307455999999888e+01,-2.906190968910546055e-02,-6.393620131861355027e-02,3.138316392719633363e+00
4.598769023999999916e+01,-2.484821374042294612e-02,-6.149052835959360752e-02,3.122916922729168210e+00
4.608542284800000033e+01,-1.927423546355871986e-02,-6.526399506583194232e-02,3.120465596636435635e+00
4.618552447999999799e+01,-1.933881852555879161e-02,-6.067217075055287429e-02,3.130111221677617461e+00
4.628048409600000213e+01,-1.162987363161353815e-02,-5.892596993398528660e-02,3.117278163271608449e+00
4.637703526399999987e+01,-9.695660132097244643e-03,-5.960151016517079015e-02,3.122504563798214505e+00
4.647057766399999679e+01,-6.606438815296041683e-03,-5.702887655376455422e-02,3.145702160597996233e+00
4.666078361600000335e+01,-5.812381938950660423e-03,-5.812381937357282563e-02,3.138316392735542415e+00
4.675814246400000229e+01,-3.646948801266581847e-03,-5.864423655745525793e-02,3.136171211655480295e+00
4.687072947200000073e+01,-9.593716426986221882e-11,-5.812381944635564013e-02,3.138316392612301886e+00
4.696914329599999860e+01,-9.593716426986221882e-11,-5.812381944635564013e-02,3.138316392612301886e+00
4.706458316799999864e+01,-9.593716426986221882e-11,-5.812381944635564013e-02,3.138316392612301886e+00
4.726221337599999828e+01,4.368852618470689050e-03,-5.738117090215064803e-02,3.116215882060584530e+00
4.736609433600000330e+01,5.812381936569244179e-03,-5.812381937248986552e-02,3.138316392737494187e+00
4.755397145599999931e+01,6.536306880385325813e-03,-5.576769806992529915e-02,3.136097757518073070e+00
4.812934220799999707e+01,5.812381936019916234e-03,-5.231143743584771438e-02,3.138316392736947957e+00
4.875886489599999862e+01,3.967178186504527557e-04,-4.708915485391361455e-02,3.118125526669167868e+00
4.951216256000000016e+01,-5.812381938423316630e-03,-4.068667356151935838e-02,3.138316392736881344e+00
4.971362355200000138e+01,-1.357171793386557912e-02,-3.751890811014999688e-02,3.130029890152040473e+00
4.999550796799999830e+01,-1.537964251037613611e-02,-3.281777180543390265e-02,3.123810383695627468e+00
5.062960204800000241e+01,-2.928013647771049097e-02,-2.068160612287279349e-02,3.100719119780996902e+00
5.120108569599999981e+01,-3.898098170482780511e-02,-8.629866293259624843e-03,3.015579669547165498e+00
5.130000998399999901e+01,-3.984447329193681331e-02,-4.573575387437176822e-03,3.005901034695776630e+00
5.157992191999999676e+01,-4.890148969694474435e-02,-1.608625516008481900e-11,2.933743635946002293e+00
5.202423219199999949e+01,-5.334890594534238972e-02,4.343523750633135685e-03,2.817881209218469962e+00
5.222099788799999942e+01,-5.622603290424818545e-02,7.785395676365408635e-03,2.768473803806670297e+00
5.306651238399999926e+01,-6.427405565132385257e-02,1.190260289736500172e-02,2.570659271563030313e+00
5.341975936000000047e+01,-6.886628879102157930e-02,1.169416583462321892e-02,2.484559137635020676e+00
5.360721049600000043e+01,-6.954581580041201139e-02,1.239889315280064651e-02,2.459511616724595839e+00
5.397412940800000314e+01,-7.234337574037766339e-02,1.096111753324307582e-02,2.367322396913622118e+00
5.462415129600000085e+01,-7.695005057487672162e-02,6.853922257412777864e-03,2.216442720069941252e+00
5.472581273600000173e+01,-7.730485873737685809e-02,6.148200679499723348e-03,2.203441712390032947e+00
5.572788889600000317e+01,-8.316767558727772292e-02,2.646102044499179518e-03,1.974442150853935374e+00
5.591746815999999853e+01,-8.390930874376952009e-02,1.785304421355778754e-03,1.927901591841030493e+00
5.602038195200000104e+01,-8.386041959468307216e-02,1.148263509150340223e-03,1.903724957084021563e+00
5.671626521599999649e+01,-8.574553370123981499e-02,-7.199233105832464569e-05,1.747527314543148913e+00
5.701405107200000089e+01,-8.566200147412719734e-02,-6.838146295808280727e-05,1.682245778683328918e+00
5.719896985599999795e+01,-8.633826982878496648e-02,-1.514706506036768690e-03,1.635690239155064507e+00
5.730592000000000041e+01,-8.530487506219426586e-02,-1.496576795936746312e-03,1.616112434393986774e+00
5.740913715199999956e+01,-8.422458743702750106e-02,-1.640924819680325769e-03,1.592621932966892473e+00
5.818095871999999957e+01,-7.955283135133411898e-02,-2.540840279736671700e-03,1.408664362785841062e+00
5.827449753599999838e+01,-7.711301425394090359e-02,-1.339981955837970043e-03,1.388092973702187427e+00
5.846805785600000149e+01,-7.460378702430953135e-02,-2.486792931131387961e-03,1.342709925629803625e+00
5.884362240000000099e+01,-7.058294392794350891e-02,-3.471292330104634120e-03,1.249517979736725959e+00
5.893905715199999662e+01,-6.879382736397209042e-02,-4.077387084999277607e-03,1.228541558581956350e+00
5.922738150400000023e+01,-6.571749828740232335e-02,-5.386680173523547555e-03,1.163385814045807765e+00
5.932198220800000144e+01,-6.432538105848613352e-02,-5.272572230753123750e-03,1.138741397381487275e+00
5.960133734400000094e+01,-6.149050971904893720e-02,-5.950694491548677925e-03,1.070998789436977017e+00
6.017438719999999819e+01,-5.681546102448831875e-02,-5.557312574805247686e-03,9.361154145782529801e-01
6.047052928000000094e+01,-5.532177473054685629e-02,-4.804550539274135210e-03,8.662833452889495689e-01
6.057010790399999678e+01,-5.438862651999397391e-02,-5.103256574829072821e-03,8.440187932242277924e-01
6.164376550400000099e+01,-5.105795018914417727e-02,1.635952217919993878e-03,5.931642838966968423e-01
6.184440243200000253e+01,-5.083551181155080562e-02,2.312010481845525045e-03,5.460023292995185296e-01
6.194440396800000315e+01,-5.046936005508717571e-02,2.911693844197697344e-03,5.240431338339900380e-01
6.204529382399999804e+01,-5.056497196755504325e-02,4.136312297581086136e-03,5.011412001044875941e-01
6.223806515199999723e+01,-4.964951145063366961e-02,5.049102854261736627e-03,4.543657099731497895e-01
6.254153344000000203e+01,-4.859803300809990151e-02,7.193242812410031474e-03,3.886430816752705630e-01
6.264798412799999738e+01,-4.821424033940397563e-02,8.085651861205980784e-03,3.640088217324810027e-01
